No,Rank,Gender,Flavor,Juiciness,Tenderness,Umami,Palability,Marbling,Color,Texture,Surface Moisture,Total,Name,2,3,1+,1++,new_color,bright_color,grade_encode,grade_img,grade_surface_img,grade_marbling_img,grade_color_img,grade_texture_img,grade_total_img
69547,1++,steer,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069547.jpg,0,0,0,1,6,6.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69559,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069559.jpg,0,0,0,1,2,2.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69563,1++,steer,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069563.jpg,0,0,0,1,2,2.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69568,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069568.jpg,0,0,0,1,5,3.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69572,1++,steer,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069572.jpg,0,0,0,1,4,4.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69574,1++,steer,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069574.jpg,0,0,0,1,3,1.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69577,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069577.jpg,0,0,0,1,6,6.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69578,1++,steer,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069578.jpg,0,0,0,1,6,6.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69606,1++,steer,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069606.jpg,0,0,0,1,1,1.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69611,1++,steer,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069611.jpg,0,0,0,1,2,2.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69619,1++,female,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069619.jpg,0,0,0,1,5,5.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69620,1++,female,3.0,4.0,5.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069620.jpg,0,0,0,1,2,2.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69625,1++,steer,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069625.jpg,0,0,0,1,3,3.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69630,1++,steer,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,train/cropped_448/QC_cow_segmentation_1++_069630.jpg,0,0,0,1,1,1.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69632,1++,steer,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,train/cropped_448/QC_cow_segmentation_1++_069632.jpg,0,0,0,1,1,1.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69634,1++,steer,4.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069634.jpg,0,0,0,1,1,1.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69639,1++,female,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069639.jpg,0,0,0,1,0,0.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69648,1++,steer,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069648.jpg,0,0,0,1,2,2.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69649,1++,steer,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069649.jpg,0,0,0,1,4,4.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69654,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069654.jpg,0,0,0,1,5,4.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69656,1++,steer,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069656.jpg,0,0,0,1,3,3.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69689,1++,steer,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069689.jpg,0,0,0,1,0,0.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69693,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069693.jpg,0,0,0,1,6,1.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69706,1++,steer,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069706.jpg,0,0,0,1,4,4.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69714,1++,steer,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069714.jpg,0,0,0,1,5,5.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69717,1++,steer,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069717.jpg,0,0,0,1,6,6.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69735,1++,steer,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069735.jpg,0,0,0,1,3,3.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69736,1++,steer,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069736.jpg,0,0,0,1,2,2.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69738,1++,steer,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069738.jpg,0,0,0,1,6,4.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69743,1++,female,4.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069743.jpg,0,0,0,1,3,3.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69751,1++,steer,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069751.jpg,0,0,0,1,6,4.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69760,1++,steer,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069760.jpg,0,0,0,1,5,5.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69764,1++,steer,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069764.jpg,0,0,0,1,1,1.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69765,1++,steer,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069765.jpg,0,0,0,1,2,2.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69769,1++,steer,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069769.jpg,0,0,0,1,6,6.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69786,1++,female,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069786.jpg,0,0,0,1,3,3.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69789,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069789.jpg,0,0,0,1,3,3.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69791,1++,steer,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069791.jpg,0,0,0,1,3,3.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69797,1++,steer,4.0,4.0,5.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069797.jpg,0,0,0,1,0,0.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69798,1++,steer,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069798.jpg,0,0,0,1,3,3.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69800,1++,steer,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069800.jpg,0,0,0,1,6,6.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69803,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069803.jpg,0,0,0,1,3,3.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69805,1++,steer,2.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069805.jpg,0,0,0,1,4,4.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69814,1++,steer,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069814.jpg,0,0,0,1,3,3.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69818,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069818.jpg,0,0,0,1,5,4.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69823,1++,steer,4.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069823.jpg,0,0,0,1,0,0.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69824,1++,steer,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069824.jpg,0,0,0,1,6,4.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69833,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069833.jpg,0,0,0,1,5,3.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69850,1++,steer,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069850.jpg,0,0,0,1,6,6.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69857,1++,female,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069857.jpg,0,0,0,1,5,3.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69858,1++,steer,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069858.jpg,0,0,0,1,1,1.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69859,1++,steer,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069859.jpg,0,0,0,1,6,6.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69863,1++,steer,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,train/cropped_448/QC_cow_segmentation_1++_069863.jpg,0,0,0,1,2,2.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
69864,1++,steer,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,train/cropped_448/QC_cow_segmentation_1++_069864.jpg,0,0,0,1,2,2.0,0,grade/1.jpg,kde/kde_Surface Moisture_1++.png,kde/kde_Marbling_1++.png,kde/kde_new_color_1++.png,kde/kde_Texture_1++.png,kde/kde_Total_1++.png
